table,column,parent,prt_col
zerver_realm,notifications_stream,zerver_stream,id
zerver_preregistrationuser,realm,zerver_realm,id
zerver_preregistrationuser,referred_by,zerver_userprofile,id
zerver_message,recipient,zerver_recipient,id
zerver_message,sender,zerver_userprofile,id
zerver_message,sending_client,zerver_client,id
zerver_defaultstream,realm,zerver_realm,id
zerver_defaultstream,stream,zerver_stream,id
zerver_userprofile,default_events_register_stream,zerver_stream,id
zerver_userprofile,default_sending_stream,zerver_stream,id
zerver_userprofile,realm,zerver_realm,id
zerver_attachment,realm,zerver_realm,id
zerver_userprofile,bot_owner,zerver_userprofile,id
zerver_pushdevicetoken,user,zerver_userprofile,id
zerver_realmemoji,realm,zerver_realm,id
zerver_realmfilter,realm,zerver_realm,id
zerver_stream,realm,zerver_realm,id
zerver_subscription,recipient,zerver_recipient,id
zerver_subscription,user_profile,zerver_userprofile,id
zerver_useractivity,client,zerver_client,id
zerver_useractivity,user_profile,zerver_userprofile,id
zerver_useractivityinterval,user_profile,zerver_userprofile,id
zerver_usermessage,message,zerver_message,id
zerver_usermessage,user_profile,zerver_userprofile,id
zerver_userpresence,client,zerver_client,id
zerver_userpresence,user_profile,zerver_userprofile,id
zerver_preregistrationuser_streams,preregistrationuser,zerver_preregistrationuser,id
zerver_preregistrationuser_streams,stream,zerver_stream,id
zerver_userprofile_groups,userprofile,zerver_userprofile,id
zerver_userprofile_groups,group,auth_group,id
zerver_userprofile_user_permissions,userprofile,zerver_userprofile,id
zerver_userprofile_user_permissions,permission,auth_permission,id
zerver_attachment,owner,zerver_userprofile,id
zerver_attachment_messages,attachment,zerver_attachment,id
zerver_attachment_messages,message,zerver_message,id
zerver_reaction,user_profile,zerver_userprofile,id
zerver_reaction,message,zerver_message,id
zerver_realmemoji,author,zerver_userprofile,id
analytics_realmcount,realm,zerver_realm,id
analytics_streamcount,realm,zerver_realm,id
analytics_streamcount,stream,zerver_stream,id
analytics_usercount,realm,zerver_realm,id
analytics_usercount,user,zerver_userprofile,id
zerver_defaultstreamgroup,realm,zerver_realm,id
zerver_defaultstreamgroup_streams,defaultstreamgroup,zerver_defaultstreamgroup,id
zerver_defaultstreamgroup_streams,stream,zerver_stream,id
zerver_usergroup,realm,zerver_realm,id
zerver_usergroupmembership,user_group,zerver_usergroup,id
zerver_usergroupmembership,user_profile,zerver_userprofile,id
zerver_botconfigdata,bot_profile,zerver_userprofile,id
zerver_realm,signup_notifications_stream,zerver_stream,id
zerver_realmdomain,realm,zerver_realm,id
zerver_emailchangestatus,realm,zerver_realm,id
zerver_emailchangestatus,user_profile,zerver_userprofile,id
zerver_realmauditlog,acting_user,zerver_userprofile,id
zerver_realmauditlog,modified_stream,zerver_stream,id
zerver_realmauditlog,modified_user,zerver_userprofile,id
zerver_realmauditlog,realm,zerver_realm,id
zerver_archivedattachment,owner,zerver_userprofile,id
zerver_archivedattachment,realm,zerver_realm,id
zerver_archivedmessage,recipient,zerver_recipient,id
zerver_archivedmessage,sender,zerver_userprofile,id
zerver_archivedmessage,sending_client,zerver_client,id
zerver_archivedusermessage,message,zerver_archivedmessage,id
zerver_archivedusermessage,user_profile,zerver_userprofile,id
zerver_archivedattachment_messages,archivedattachment,zerver_archivedattachment,id
zerver_archivedattachment_messages,archivedmessage,zerver_archivedmessage,id
zerver_userhotspot,user,zerver_userprofile,id
zerver_alertword,user_profile,zerver_userprofile,id
zerver_customprofilefield,realm,zerver_realm,id
zerver_customprofilefieldvalue,field,zerver_customprofilefield,id
zerver_customprofilefieldvalue,user_profile,zerver_userprofile,id
zerver_service,user_profile,zerver_userprofile,id
zerver_usertopic,recipient,zerver_recipient,id
zerver_usertopic,stream,zerver_stream,id
zerver_usertopic,user_profile,zerver_userprofile,id
zerver_multiuseinvite,realm,zerver_realm,id
zerver_multiuseinvite,referred_by,zerver_userprofile,id
zerver_multiuseinvite_streams,multiuseinvite,zerver_multiuseinvite,id
zerver_multiuseinvite_streams,stream,zerver_stream,id
zerver_botstoragedata,bot_profile,zerver_userprofile,id
confirmation_confirmation,realm,zerver_realm,id
zerver_scheduledemail,realm,zerver_realm,id
zerver_scheduledmessage,realm,zerver_realm,id
zerver_scheduledmessage,recipient,zerver_recipient,id
zerver_scheduledmessage,sender,zerver_userprofile,id
zerver_scheduledmessage,sending_client,zerver_client,id
zerver_scheduledmessage,stream,zerver_stream,id
zerver_submessage,message,zerver_message,id
zerver_submessage,sender,zerver_userprofile,id
zerver_userstatus,client,zerver_client,id
zerver_userstatus,user_profile,zerver_userprofile,id
zerver_scheduledemail_users,scheduledemail,zerver_scheduledemail,id
zerver_scheduledemail_users,userprofile,zerver_userprofile,id
zerver_archivedreaction,message,zerver_archivedmessage,id
zerver_archivedreaction,user_profile,zerver_userprofile,id
zerver_archivedsubmessage,message,zerver_archivedmessage,id
zerver_archivedsubmessage,sender,zerver_userprofile,id
zerver_archivetransaction,realm,zerver_realm,id
zerver_archivedmessage,archive_transaction,zerver_archivetransaction,id
zerver_userprofile,recipient,zerver_recipient,id
zerver_stream,recipient,zerver_recipient,id
zerver_missedmessageemailaddress,message,zerver_message,id
zerver_missedmessageemailaddress,user_profile,zerver_userprofile,id
zerver_userpresence,realm,zerver_realm,id
zerver_huddle,recipient,zerver_recipient,id
zerver_alertword,realm,zerver_realm,id
zerver_draft,recipient,zerver_recipient,id
zerver_draft,user_profile,zerver_userprofile,id
zerver_muteduser,muted_user,zerver_userprofile,id
zerver_muteduser,user_profile,zerver_userprofile,id
zerver_realmplayground,realm,zerver_realm,id
zerver_scheduledmessagenotificationemail,mentioned_user_group,zerver_usergroup,id
zerver_scheduledmessagenotificationemail,message,zerver_message,id
zerver_scheduledmessagenotificationemail,user_profile,zerver_userprofile,id
zerver_realmuserdefault,realm,zerver_realm,id
zerver_groupgroupmembership,subgroup,zerver_usergroup,id
zerver_groupgroupmembership,supergroup,zerver_usergroup,id
zerver_scimclient,realm,zerver_realm,id
