model,module,app,table,field,field_type,parent,through_model,related_names,primary_key,max_length,unique,null,related_model,foreign_type,default,on_delete,is_m2m_field,auto_now
GroupGroupMembership,zerver.models,zerver,zerver_groupgroupmembership,supergroup,ForeignKey,zerver_groupgroupmembership,,+,False,,False,False,zerver_usergroup,,,CASCADE,yes,
GroupGroupMembership,zerver.models,zerver,zerver_groupgroupmembership,subgroup,ForeignKey,zerver_groupgroupmembership,,+,False,,False,False,zerver_usergroup,,,CASCADE,yes,
PreregistrationUser,zerver.models,zerver,zerver_preregistrationuser,id,AutoField,zerver_preregistrationuser,,,True,,False,False,,,,,no,
PreregistrationUser,zerver.models,zerver,zerver_preregistrationuser,email,EmailField,zerver_preregistrationuser,,,False,254,False,False,,,,,no,
PreregistrationUser,zerver.models,zerver,zerver_preregistrationuser,full_name,CharField,zerver_preregistrationuser,,,False,100,False,True,,,,,no,
PreregistrationUser,zerver.models,zerver,zerver_preregistrationuser,full_name_validated,BooleanField,zerver_preregistrationuser,,,False,,False,False,,,False,,no,
PreregistrationUser,zerver.models,zerver,zerver_preregistrationuser,referred_by,ForeignKey,zerver_preregistrationuser,,,False,,False,True,zerver_userprofile,,,CASCADE,no,
PreregistrationUser,zerver.models,zerver,zerver_preregistrationuser,invited_at,DateTimeField,zerver_preregistrationuser,,,False,,False,False,,,,,no,1
PreregistrationUser,zerver.models,zerver,zerver_preregistrationuser,realm_creation,BooleanField,zerver_preregistrationuser,,,False,,False,False,,,False,,no,
PreregistrationUser,zerver.models,zerver,zerver_preregistrationuser,password_required,BooleanField,zerver_preregistrationuser,,,False,,False,False,,,True,,no,
PreregistrationUser,zerver.models,zerver,zerver_preregistrationuser,status,IntegerField,zerver_preregistrationuser,,,False,,False,False,,,0,,no,
PreregistrationUser,zerver.models,zerver,zerver_preregistrationuser,realm,ForeignKey,zerver_preregistrationuser,,,False,,False,True,zerver_realm,,,CASCADE,no,
PreregistrationUser,zerver.models,zerver,zerver_preregistrationuser,invited_as,PositiveSmallIntegerField,zerver_preregistrationuser,,,False,,False,False,,,400,,no,
PreregistrationUser,zerver.models,zerver,zerver_preregistrationuser,streams,ManyToManyField,zerver_preregistrationuser,PreregistrationUser_streams,,False,,False,False,zerver_stream,ManyToManyField,,,no,
PreregistrationUser,zerver.models,zerver,zerver_preregistrationuser,confirmation,GenericRelation,zerver_preregistrationuser,,prereg_user,False,,False,True,confirmation_confirmation,,,DO_NOTHING,no,
MultiuseInvite,zerver.models,zerver,zerver_multiuseinvite,id,AutoField,zerver_multiuseinvite,,,True,,False,False,,,,,no,
MultiuseInvite,zerver.models,zerver,zerver_multiuseinvite,referred_by,ForeignKey,zerver_multiuseinvite,,,False,,False,False,zerver_userprofile,,,CASCADE,no,
MultiuseInvite,zerver.models,zerver,zerver_multiuseinvite,realm,ForeignKey,zerver_multiuseinvite,,,False,,False,False,zerver_realm,,,CASCADE,no,
MultiuseInvite,zerver.models,zerver,zerver_multiuseinvite,invited_as,PositiveSmallIntegerField,zerver_multiuseinvite,,,False,,False,False,,,400,,no,
MultiuseInvite,zerver.models,zerver,zerver_multiuseinvite,streams,ManyToManyField,zerver_multiuseinvite,MultiuseInvite_streams,,False,,False,False,zerver_stream,ManyToManyField,,,no,
EmailChangeStatus,zerver.models,zerver,zerver_emailchangestatus,id,AutoField,zerver_emailchangestatus,,,True,,False,False,,,,,no,
EmailChangeStatus,zerver.models,zerver,zerver_emailchangestatus,new_email,EmailField,zerver_emailchangestatus,,,False,254,False,False,,,,,no,
EmailChangeStatus,zerver.models,zerver,zerver_emailchangestatus,old_email,EmailField,zerver_emailchangestatus,,,False,254,False,False,,,,,no,
EmailChangeStatus,zerver.models,zerver,zerver_emailchangestatus,updated_at,DateTimeField,zerver_emailchangestatus,,,False,,False,False,,,,,no,1
EmailChangeStatus,zerver.models,zerver,zerver_emailchangestatus,user_profile,ForeignKey,zerver_emailchangestatus,,,False,,False,False,zerver_userprofile,,,CASCADE,no,
EmailChangeStatus,zerver.models,zerver,zerver_emailchangestatus,status,IntegerField,zerver_emailchangestatus,,,False,,False,False,,,0,,no,
EmailChangeStatus,zerver.models,zerver,zerver_emailchangestatus,realm,ForeignKey,zerver_emailchangestatus,,,False,,False,False,zerver_realm,,,CASCADE,no,
PushDeviceToken,zerver.models,zerver,zerver_pushdevicetoken,id,AutoField,zerver_pushdevicetoken,,,True,,False,False,,,,,no,
PushDeviceToken,zerver.models,zerver,zerver_pushdevicetoken,kind,PositiveSmallIntegerField,zerver_abstractpushdevicetoken,,,False,,False,False,,,,,no,
PushDeviceToken,zerver.models,zerver,zerver_pushdevicetoken,token,CharField,zerver_abstractpushdevicetoken,,,False,4096,False,False,,,,,no,
PushDeviceToken,zerver.models,zerver,zerver_pushdevicetoken,last_updated,DateTimeField,zerver_abstractpushdevicetoken,,,False,,False,False,,,,,no,1
PushDeviceToken,zerver.models,zerver,zerver_pushdevicetoken,ios_app_id,TextField,zerver_abstractpushdevicetoken,,,False,,False,True,,,,,no,
PushDeviceToken,zerver.models,zerver,zerver_pushdevicetoken,user,ForeignKey,zerver_pushdevicetoken,,,False,,False,False,zerver_userprofile,,,CASCADE,no,
Stream,zerver.models,zerver,zerver_stream,preregistrationuser,ManyToManyRel,zerver_stream,,,,,,,zerver_preregistrationuser,ManyToManyField,,,no,
Stream,zerver.models,zerver,zerver_stream,multiuseinvite,ManyToManyRel,zerver_stream,,,,,,,zerver_multiuseinvite,ManyToManyField,,,no,
Stream,zerver.models,zerver,zerver_stream,usertopic,ManyToOneRel,zerver_stream,,,,,,,zerver_usertopic,ForeignKey,,CASCADE,no,
Stream,zerver.models,zerver,zerver_stream,defaultstream,ManyToOneRel,zerver_stream,,,,,,,zerver_defaultstream,ForeignKey,,CASCADE,no,
Stream,zerver.models,zerver,zerver_stream,defaultstreamgroup,ManyToManyRel,zerver_stream,,,,,,,zerver_defaultstreamgroup,ManyToManyField,,,no,
Stream,zerver.models,zerver,zerver_stream,scheduledmessage,ManyToOneRel,zerver_stream,,,,,,,zerver_scheduledmessage,ForeignKey,,CASCADE,no,
Stream,zerver.models,zerver,zerver_stream,realmauditlog,ManyToOneRel,zerver_stream,,,,,,,zerver_realmauditlog,ForeignKey,,CASCADE,no,
Stream,zerver.models,zerver,zerver_stream,streamcount,ManyToOneRel,zerver_stream,,,,,,,analytics_streamcount,ForeignKey,,CASCADE,no,
Stream,zerver.models,zerver,zerver_stream,id,AutoField,zerver_stream,,,True,,False,False,,,,,no,
Stream,zerver.models,zerver,zerver_stream,name,CharField,zerver_stream,,,False,60,False,False,,,,,no,
Stream,zerver.models,zerver,zerver_stream,realm,ForeignKey,zerver_stream,,,False,,False,False,zerver_realm,,,CASCADE,no,
Stream,zerver.models,zerver,zerver_stream,date_created,DateTimeField,zerver_stream,,,False,,False,False,,,<function now at 0x7f8bbb015ee0>,,no,
Stream,zerver.models,zerver,zerver_stream,deactivated,BooleanField,zerver_stream,,,False,,False,False,,,False,,no,
Stream,zerver.models,zerver,zerver_stream,description,CharField,zerver_stream,,,False,1024,False,False,,,,,no,
Stream,zerver.models,zerver,zerver_stream,rendered_description,TextField,zerver_stream,,,False,,False,False,,,,,no,
Stream,zerver.models,zerver,zerver_stream,recipient,ForeignKey,zerver_stream,,,False,,False,True,zerver_recipient,,,SET_NULL,no,
Stream,zerver.models,zerver,zerver_stream,invite_only,BooleanField,zerver_stream,,,False,,False,True,,,False,,no,
Stream,zerver.models,zerver,zerver_stream,history_public_to_subscribers,BooleanField,zerver_stream,,,False,,False,False,,,False,,no,
Stream,zerver.models,zerver,zerver_stream,is_web_public,BooleanField,zerver_stream,,,False,,False,False,,,False,,no,
Stream,zerver.models,zerver,zerver_stream,stream_post_policy,PositiveSmallIntegerField,zerver_stream,,,False,,False,False,,,1,,no,
Stream,zerver.models,zerver,zerver_stream,is_in_zephyr_realm,BooleanField,zerver_stream,,,False,,False,False,,,False,,no,
Stream,zerver.models,zerver,zerver_stream,email_token,CharField,zerver_stream,,,False,32,True,False,,,<function generate_email_token_for_stream at 0x7f8bb7477af0>,,no,
Stream,zerver.models,zerver,zerver_stream,message_retention_days,IntegerField,zerver_stream,,,False,,False,True,,,,,no,
Stream,zerver.models,zerver,zerver_stream,first_message_id,IntegerField,zerver_stream,,,False,,False,True,,,,,no,
UserTopic,zerver.models,zerver,zerver_usertopic,id,AutoField,zerver_usertopic,,,True,,False,False,,,,,no,
UserTopic,zerver.models,zerver,zerver_usertopic,user_profile,ForeignKey,zerver_usertopic,,,False,,False,False,zerver_userprofile,,,CASCADE,no,
UserTopic,zerver.models,zerver,zerver_usertopic,stream,ForeignKey,zerver_usertopic,,,False,,False,False,zerver_stream,,,CASCADE,no,
UserTopic,zerver.models,zerver,zerver_usertopic,recipient,ForeignKey,zerver_usertopic,,,False,,False,False,zerver_recipient,,,CASCADE,no,
UserTopic,zerver.models,zerver,zerver_usertopic,topic_name,CharField,zerver_usertopic,,,False,60,False,False,,,,,no,
UserTopic,zerver.models,zerver,zerver_usertopic,last_updated,DateTimeField,zerver_usertopic,,,False,,False,False,,,2020-01-01 00:00:00+00:00,,no,
UserTopic,zerver.models,zerver,zerver_usertopic,visibility_policy,SmallIntegerField,zerver_usertopic,,,False,,False,False,,,1,,no,
MutedUser,zerver.models,zerver,zerver_muteduser,id,AutoField,zerver_muteduser,,,True,,False,False,,,,,no,
MutedUser,zerver.models,zerver,zerver_muteduser,user_profile,ForeignKey,zerver_muteduser,,+,False,,False,False,zerver_userprofile,,,CASCADE,no,
MutedUser,zerver.models,zerver,zerver_muteduser,muted_user,ForeignKey,zerver_muteduser,,+,False,,False,False,zerver_userprofile,,,CASCADE,no,
MutedUser,zerver.models,zerver,zerver_muteduser,date_muted,DateTimeField,zerver_muteduser,,,False,,False,False,,,<function now at 0x7f8bbb015ee0>,,no,
Client,zerver.models,zerver,zerver_client,archivedmessage,ManyToOneRel,zerver_client,,,,,,,zerver_archivedmessage,ForeignKey,,CASCADE,no,
Client,zerver.models,zerver,zerver_client,message,ManyToOneRel,zerver_client,,,,,,,zerver_message,ForeignKey,,CASCADE,no,
Client,zerver.models,zerver,zerver_client,useractivity,ManyToOneRel,zerver_client,,,,,,,zerver_useractivity,ForeignKey,,CASCADE,no,
Client,zerver.models,zerver,zerver_client,userpresence,ManyToOneRel,zerver_client,,,,,,,zerver_userpresence,ForeignKey,,CASCADE,no,
Client,zerver.models,zerver,zerver_client,userstatus,ManyToOneRel,zerver_client,,,,,,,zerver_userstatus,ForeignKey,,CASCADE,no,
Client,zerver.models,zerver,zerver_client,scheduledmessage,ManyToOneRel,zerver_client,,,,,,,zerver_scheduledmessage,ForeignKey,,CASCADE,no,
Client,zerver.models,zerver,zerver_client,id,AutoField,zerver_client,,,True,,False,False,,,,,no,
Client,zerver.models,zerver,zerver_client,name,CharField,zerver_client,,,False,30,True,False,,,,,no,
ArchiveTransaction,zerver.models,zerver,zerver_archivetransaction,archivedmessage,ManyToOneRel,zerver_archivetransaction,,,,,,,zerver_archivedmessage,ForeignKey,,CASCADE,no,
ArchiveTransaction,zerver.models,zerver,zerver_archivetransaction,id,AutoField,zerver_archivetransaction,,,True,,False,False,,,,,no,
ArchiveTransaction,zerver.models,zerver,zerver_archivetransaction,timestamp,DateTimeField,zerver_archivetransaction,,,False,,False,False,,,<function now at 0x7f8bbb015ee0>,,no,
ArchiveTransaction,zerver.models,zerver,zerver_archivetransaction,restored,BooleanField,zerver_archivetransaction,,,False,,False,False,,,False,,no,
ArchiveTransaction,zerver.models,zerver,zerver_archivetransaction,type,PositiveSmallIntegerField,zerver_archivetransaction,,,False,,False,False,,,,,no,
ArchiveTransaction,zerver.models,zerver,zerver_archivetransaction,realm,ForeignKey,zerver_archivetransaction,,,False,,False,True,zerver_realm,,,CASCADE,no,
ArchivedMessage,zerver.models,zerver,zerver_archivedmessage,archivedsubmessage,ManyToOneRel,zerver_archivedmessage,,,,,,,zerver_archivedsubmessage,ForeignKey,,CASCADE,no,
ArchivedMessage,zerver.models,zerver,zerver_archivedmessage,archivedreaction,ManyToOneRel,zerver_archivedmessage,,,,,,,zerver_archivedreaction,ForeignKey,,CASCADE,no,
ArchivedMessage,zerver.models,zerver,zerver_archivedmessage,archivedusermessage,ManyToOneRel,zerver_archivedmessage,,,,,,,zerver_archivedusermessage,ForeignKey,,CASCADE,no,
ArchivedMessage,zerver.models,zerver,zerver_archivedmessage,archivedattachment,ManyToManyRel,zerver_archivedmessage,,,,,,,zerver_archivedattachment,ManyToManyField,,,no,
ArchivedMessage,zerver.models,zerver,zerver_archivedmessage,id,AutoField,zerver_archivedmessage,,,True,,False,False,,,,,no,
ArchivedMessage,zerver.models,zerver,zerver_archivedmessage,sender,ForeignKey,zerver_archivedmessage,,,False,,False,False,zerver_userprofile,,,CASCADE,no,
ArchivedMessage,zerver.models,zerver,zerver_archivedmessage,recipient,ForeignKey,zerver_archivedmessage,,,False,,False,False,zerver_recipient,,,CASCADE,no,
ArchivedMessage,zerver.models,zerver,zerver_archivedmessage,subject,CharField,zerver_abstractmessage,,,False,60,False,False,,,,,no,
ArchivedMessage,zerver.models,zerver,zerver_archivedmessage,content,TextField,zerver_abstractmessage,,,False,,False,False,,,,,no,
ArchivedMessage,zerver.models,zerver,zerver_archivedmessage,rendered_content,TextField,zerver_abstractmessage,,,False,,False,True,,,,,no,
ArchivedMessage,zerver.models,zerver,zerver_archivedmessage,rendered_content_version,IntegerField,zerver_abstractmessage,,,False,,False,True,,,,,no,
ArchivedMessage,zerver.models,zerver,zerver_archivedmessage,date_sent,DateTimeField,zerver_abstractmessage,,,False,,False,False,,,,,no,
ArchivedMessage,zerver.models,zerver,zerver_archivedmessage,sending_client,ForeignKey,zerver_archivedmessage,,,False,,False,False,zerver_client,,,CASCADE,no,
ArchivedMessage,zerver.models,zerver,zerver_archivedmessage,last_edit_time,DateTimeField,zerver_abstractmessage,,,False,,False,True,,,,,no,
ArchivedMessage,zerver.models,zerver,zerver_archivedmessage,edit_history,TextField,zerver_abstractmessage,,,False,,False,True,,,,,no,
ArchivedMessage,zerver.models,zerver,zerver_archivedmessage,has_attachment,BooleanField,zerver_abstractmessage,,,False,,False,False,,,False,,no,
ArchivedMessage,zerver.models,zerver,zerver_archivedmessage,has_image,BooleanField,zerver_abstractmessage,,,False,,False,False,,,False,,no,
ArchivedMessage,zerver.models,zerver,zerver_archivedmessage,has_link,BooleanField,zerver_abstractmessage,,,False,,False,False,,,False,,no,
ArchivedMessage,zerver.models,zerver,zerver_archivedmessage,archive_transaction,ForeignKey,zerver_archivedmessage,,,False,,False,False,zerver_archivetransaction,,,CASCADE,no,
Message,zerver.models,zerver,zerver_message,submessage,ManyToOneRel,zerver_message,,,,,,,zerver_submessage,ForeignKey,,CASCADE,no,
Message,zerver.models,zerver,zerver_message,reaction,ManyToOneRel,zerver_message,,,,,,,zerver_reaction,ForeignKey,,CASCADE,no,
Message,zerver.models,zerver,zerver_message,usermessage,ManyToOneRel,zerver_message,,,,,,,zerver_usermessage,ForeignKey,,CASCADE,no,
Message,zerver.models,zerver,zerver_message,attachment,ManyToManyRel,zerver_message,,,,,,,zerver_attachment,ManyToManyField,,,no,
Message,zerver.models,zerver,zerver_message,missedmessageemailaddress,ManyToOneRel,zerver_message,,,,,,,zerver_missedmessageemailaddress,ForeignKey,,CASCADE,no,
Message,zerver.models,zerver,zerver_message,scheduledmessagenotificationemail,ManyToOneRel,zerver_message,,,,,,,zerver_scheduledmessagenotificationemail,ForeignKey,,CASCADE,no,
Message,zerver.models,zerver,zerver_message,id,AutoField,zerver_message,,,True,,False,False,,,,,no,
Message,zerver.models,zerver,zerver_message,sender,ForeignKey,zerver_message,,,False,,False,False,zerver_userprofile,,,CASCADE,no,
Message,zerver.models,zerver,zerver_message,recipient,ForeignKey,zerver_message,,,False,,False,False,zerver_recipient,,,CASCADE,no,
Message,zerver.models,zerver,zerver_message,subject,CharField,zerver_abstractmessage,,,False,60,False,False,,,,,no,
Message,zerver.models,zerver,zerver_message,content,TextField,zerver_abstractmessage,,,False,,False,False,,,,,no,
Message,zerver.models,zerver,zerver_message,rendered_content,TextField,zerver_abstractmessage,,,False,,False,True,,,,,no,
Message,zerver.models,zerver,zerver_message,rendered_content_version,IntegerField,zerver_abstractmessage,,,False,,False,True,,,,,no,
Message,zerver.models,zerver,zerver_message,date_sent,DateTimeField,zerver_abstractmessage,,,False,,False,False,,,,,no,
Message,zerver.models,zerver,zerver_message,sending_client,ForeignKey,zerver_message,,,False,,False,False,zerver_client,,,CASCADE,no,
Message,zerver.models,zerver,zerver_message,last_edit_time,DateTimeField,zerver_abstractmessage,,,False,,False,True,,,,,no,
Message,zerver.models,zerver,zerver_message,edit_history,TextField,zerver_abstractmessage,,,False,,False,True,,,,,no,
Message,zerver.models,zerver,zerver_message,has_attachment,BooleanField,zerver_abstractmessage,,,False,,False,False,,,False,,no,
Message,zerver.models,zerver,zerver_message,has_image,BooleanField,zerver_abstractmessage,,,False,,False,False,,,False,,no,
Message,zerver.models,zerver,zerver_message,has_link,BooleanField,zerver_abstractmessage,,,False,,False,False,,,False,,no,
SubMessage,zerver.models,zerver,zerver_submessage,id,AutoField,zerver_submessage,,,True,,False,False,,,,,no,
SubMessage,zerver.models,zerver,zerver_submessage,sender,ForeignKey,zerver_submessage,,,False,,False,False,zerver_userprofile,,,CASCADE,no,
SubMessage,zerver.models,zerver,zerver_submessage,msg_type,TextField,zerver_abstractsubmessage,,,False,,False,False,,,,,no,
SubMessage,zerver.models,zerver,zerver_submessage,content,TextField,zerver_abstractsubmessage,,,False,,False,False,,,,,no,
SubMessage,zerver.models,zerver,zerver_submessage,message,ForeignKey,zerver_submessage,,,False,,False,False,zerver_message,,,CASCADE,no,
ArchivedSubMessage,zerver.models,zerver,zerver_archivedsubmessage,id,AutoField,zerver_archivedsubmessage,,,True,,False,False,,,,,no,
ArchivedSubMessage,zerver.models,zerver,zerver_archivedsubmessage,sender,ForeignKey,zerver_archivedsubmessage,,,False,,False,False,zerver_userprofile,,,CASCADE,no,
ArchivedSubMessage,zerver.models,zerver,zerver_archivedsubmessage,msg_type,TextField,zerver_abstractsubmessage,,,False,,False,False,,,,,no,
ArchivedSubMessage,zerver.models,zerver,zerver_archivedsubmessage,content,TextField,zerver_abstractsubmessage,,,False,,False,False,,,,,no,
ArchivedSubMessage,zerver.models,zerver,zerver_archivedsubmessage,message,ForeignKey,zerver_archivedsubmessage,,,False,,False,False,zerver_archivedmessage,,,CASCADE,no,
Draft,zerver.models,zerver,zerver_draft,id,AutoField,zerver_draft,,,True,,False,False,,,,,no,
Draft,zerver.models,zerver,zerver_draft,user_profile,ForeignKey,zerver_draft,,,False,,False,False,zerver_userprofile,,,CASCADE,no,
Draft,zerver.models,zerver,zerver_draft,recipient,ForeignKey,zerver_draft,,,False,,False,True,zerver_recipient,,,SET_NULL,no,
Draft,zerver.models,zerver,zerver_draft,topic,CharField,zerver_draft,,,False,60,False,False,,,,,no,
Draft,zerver.models,zerver,zerver_draft,content,TextField,zerver_draft,,,False,,False,False,,,,,no,
Draft,zerver.models,zerver,zerver_draft,last_edit_time,DateTimeField,zerver_draft,,,False,,False,False,,,,,no,
Reaction,zerver.models,zerver,zerver_reaction,id,AutoField,zerver_reaction,,,True,,False,False,,,,,no,
Reaction,zerver.models,zerver,zerver_reaction,user_profile,ForeignKey,zerver_reaction,,,False,,False,False,zerver_userprofile,,,CASCADE,no,
Reaction,zerver.models,zerver,zerver_reaction,emoji_name,TextField,zerver_abstractemoji,,,False,,False,False,,,,,no,
Reaction,zerver.models,zerver,zerver_reaction,reaction_type,CharField,zerver_abstractemoji,,,False,30,False,False,,,unicode_emoji,,no,
Reaction,zerver.models,zerver,zerver_reaction,emoji_code,TextField,zerver_abstractemoji,,,False,,False,False,,,,,no,
Reaction,zerver.models,zerver,zerver_reaction,message,ForeignKey,zerver_reaction,,,False,,False,False,zerver_message,,,CASCADE,no,
ArchivedReaction,zerver.models,zerver,zerver_archivedreaction,id,AutoField,zerver_archivedreaction,,,True,,False,False,,,,,no,
ArchivedReaction,zerver.models,zerver,zerver_archivedreaction,user_profile,ForeignKey,zerver_archivedreaction,,,False,,False,False,zerver_userprofile,,,CASCADE,no,
ArchivedReaction,zerver.models,zerver,zerver_archivedreaction,emoji_name,TextField,zerver_abstractemoji,,,False,,False,False,,,,,no,
ArchivedReaction,zerver.models,zerver,zerver_archivedreaction,reaction_type,CharField,zerver_abstractemoji,,,False,30,False,False,,,unicode_emoji,,no,
ArchivedReaction,zerver.models,zerver,zerver_archivedreaction,emoji_code,TextField,zerver_abstractemoji,,,False,,False,False,,,,,no,
ArchivedReaction,zerver.models,zerver,zerver_archivedreaction,message,ForeignKey,zerver_archivedreaction,,,False,,False,False,zerver_archivedmessage,,,CASCADE,no,
UserMessage,zerver.models,zerver,zerver_usermessage,id,BigAutoField,zerver_abstractusermessage,,,True,,False,False,,,,,no,
UserMessage,zerver.models,zerver,zerver_usermessage,user_profile,ForeignKey,zerver_usermessage,,,False,,False,False,zerver_userprofile,,,CASCADE,no,
UserMessage,zerver.models,zerver,zerver_usermessage,flags,BitField,zerver_usermessage,,,False,,False,False,,,0,,no,
UserMessage,zerver.models,zerver,zerver_usermessage,message,ForeignKey,zerver_usermessage,,,False,,False,False,zerver_message,,,CASCADE,no,
ArchivedUserMessage,zerver.models,zerver,zerver_archivedusermessage,id,BigAutoField,zerver_abstractusermessage,,,True,,False,False,,,,,no,
ArchivedUserMessage,zerver.models,zerver,zerver_archivedusermessage,user_profile,ForeignKey,zerver_archivedusermessage,,,False,,False,False,zerver_userprofile,,,CASCADE,no,
